,Date,State,Confirmed,Recovered,Deaths
160,2020-03-09,Hawaii,2.0,0.0,0.0
161,2020-03-09,Illinois,7.0,2.0,0.0
162,2020-03-09,Indiana,3.0,0.0,0.0
163,2020-03-09,Iowa,3.0,0.0,0.0
164,2020-03-09,Kansas,1.0,0.0,0.0
165,2020-03-09,Kentucky,4.0,0.0,0.0
166,2020-03-09,Louisiana,1.0,0.0,0.0
167,2020-03-09,Maryland,5.0,0.0,0.0
168,2020-03-09,Massachusetts,24.0,1.0,0.0
169,2020-03-09,Minnesota,2.0,0.0,0.0
170,2020-03-09,Missouri,1.0,0.0,0.0
171,2020-03-09,Nebraska,3.0,0.0,0.0
172,2020-03-09,Nevada,4.0,0.0,0.0
173,2020-03-09,New Hampshire,5.0,0.0,0.0
174,2020-03-09,New Jersey,5.0,0.0,0.0
175,2020-03-09,New York,142.0,0.0,0.0
176,2020-03-09,North Carolina,2.0,0.0,0.0
177,2020-03-09,Oklahoma,1.0,0.0,0.0
178,2020-03-09,Oregon,14.0,0.0,0.0
179,2020-03-09,Pennsylvania,7.0,0.0,0.0
180,2020-03-09,Rhode Island,3.0,0.0,0.0
181,2020-03-09,South Carolina,6.0,0.0,0.0
182,2020-03-09,Tennessee,3.0,0.0,0.0
183,2020-03-09,Texas,14.0,0.0,0.0
184,2020-03-09,Utah,1.0,0.0,0.0
185,2020-03-09,Vermont,1.0,0.0,0.0
186,2020-03-09,Virginia,2.0,0.0,0.0
187,2020-03-09,Washington,128.0,1.0,19.0
188,2020-03-09,Wisconsin,1.0,1.0,0.0
189,2020-03-10,Alaska,0.0,0.0,0.0
190,2020-03-10,Arizona,6.0,1.0,0.0
191,2020-03-10,Arkansas,0.0,0.0,0.0
192,2020-03-10,California,144.0,2.0,2.0
193,2020-03-10,Colorado,15.0,0.0,0.0
194,2020-03-10,Connecticut,2.0,0.0,0.0
195,2020-03-10,Delaware,0.0,0.0,0.0
196,2020-03-10,District of Columbia,5.0,0.0,0.0
197,2020-03-10,Florida,15.0,0.0,2.0
198,2020-03-10,Georgia,17.0,0.0,0.0
199,2020-03-10,Hawaii,2.0,0.0,0.0
200,2020-03-10,Idaho,0.0,0.0,0.0
201,2020-03-10,Illinois,12.0,2.0,0.0
